View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1491328,1,vupload,P2,479,,,636,360,0,1030275
1491334,1,vupload,,2250,,,448,336,0,1030280
1491342,1,vupload,,256,,,448,336,0,1030288
1491349,1,vupload,,473,,,640,360,0,1030296
1491347,1,vupload,,304,,,640,360,0,1030294
1491348,1,vupload,,1740,,,480,360,0,1030295
1491351,1,vupload,,5248,,,638,360,0,1030298
1491360,1,vupload,,242,,,512,288,0,1030306
1491356,1,vupload,第一集,2594,,,480,360,0,1030303
1491357,2,vupload,扛不住请慎点第二集,2586,,,480,360,0,1030303
1491358,1,vupload,,179,,,640,360,0,1030304
1491367,1,vupload,,181,,,512,288,0,1030313
1491369,1,vupload,,6363,,,512,288,0,1030315
1491375,1,vupload,,1753,,,448,338,0,1030321
1491384,1,vupload,,238,,,640,360,0,1030328
1491382,1,vupload,,2908,,,0,0,0,1030326
1491376,1,vupload,,90,,,512,288,0,1030322
1491377,1,vupload,,2604,,,480,360,0,1030323
1491386,1,vupload,,1057,,,640,360,0,1030331
1491392,1,vupload,,244,,,640,360,0,1030334
4228603,1,vupload,,286,,,640,360,0,1030332
1491393,1,vupload,,286,,,640,346,0,1030335
1491394,1,vupload,,838,,,640,360,0,1030337
1491389,1,vupload,温暖,3603,,,704,396,0,1030333
1491390,2,vupload,人心,3474,,,704,396,0,1030333
1491391,3,vupload,PV,102,,,480,360,0,1030333
1491405,1,vupload,,674,,,638,360,0,1030346
1491400,1,vupload,,263,,,640,360,0,1030342
1491404,1,vupload,,266,,,640,360,0,1030345
1491398,1,vupload,,127,,,320,240,0,1030340
1491413,1,vupload,,3019,,,512,288,0,1030356
1491412,1,vupload,,464,,,512,288,0,1030355
1491420,1,vupload,,120,,,538,360,0,1030364
1491417,1,vupload,,1194,,,638,360,0,1030360
1491418,1,vupload,,269,,,450,360,0,1030361
1491427,1,vupload,,1939,,,576,360,0,1030373
1491430,1,vupload,,1804,,,512,288,0,1030376
1491426,1,vupload,,266,,,512,288,0,1030372
1491428,1,vupload,,302,,,640,360,0,1030374
1491424,1,vupload,,1024,,,638,360,0,1030370
1491438,1,vupload,,1208,,,640,338,0,1030385
1491437,1,vupload,,1272,,,0,0,0,1030383
1491436,1,vupload,,1131,,,640,360,0,1030382
1491448,1,vupload,,785,,,640,360,0,1030387
1491454,1,vupload,,1002,,,470,360,0,1030395
1491453,1,vupload,,2422,,,512,288,0,1030394
1491452,1,vupload,,187,,,480,360,0,1030393
1491459,1,vupload,,190,,,384,288,0,1030396
1491466,1,vupload,,1185,,,384,288,0,1030402
1491471,1,vupload,,127,,,640,360,0,1030407
1491467,1,vupload,,820,,,640,360,0,1030403
1491463,1,vupload,,1728,,,320,180,0,1030400
1491468,1,vupload,,781,,,320,240,0,1030404
1491476,1,vupload,,805,,,480,360,0,1030411
1491483,1,vupload,,769,,,576,360,0,1030416
1491477,1,vupload,,193,,,640,360,0,1030412
1491484,1,vupload,,151,,,640,360,0,1030417
1491490,1,vupload,,1270,,,480,360,0,1030424
1491501,1,vupload,,235,,,640,360,0,1030434
1491500,1,vupload,,201,,,856,480,0,1030432
1491505,1,vupload,,23,,,640,360,0,1030437
1491511,1,vupload,,116,,,480,360,0,1030448
1491510,1,vupload,,764,,,638,360,0,1030446
1491508,1,vupload,,0,,,1104,622,0,1030441
1491514,1,vupload,,3573,,,638,360,0,1030451
1491520,1,vupload,,1259,,,480,360,0,1030456
1491521,1,vupload,,127,,,638,360,0,1030457
1491516,1,vupload,,2087,,,640,360,0,1030453
1491518,1,vupload,,200,,,512,294,0,1030454
3784813,1,vupload,,2331,,,642,360,0,1030455
1491525,1,vupload,,200,,,480,360,0,1030461
1491781,1,vupload,,246,,,640,360,0,1030465
1491532,1,vupload,,382,,,638,360,0,1030468
1491527,1,vupload,,60,,,640,360,0,1030463
1491523,1,vupload,,132,,,640,360,0,1030460
1491531,1,vupload,,96,,,854,480,0,1030467
1491528,1,vupload,,280,,,640,360,0,1030464
1491535,1,vupload,,536,,,480,360,0,1030472
1491537,1,vupload,,843,,,512,288,0,1030474
1491538,1,vupload,,213,,,600,360,0,1030475
1491557,1,vupload,,124,,,540,360,0,1030477
1491570,1,vupload,720P,273,,,640,360,0,1030486
1491571,2,vupload,小水管,269,,,640,360,0,1030486
1491560,1,vupload,,227,,,640,360,0,1030480
1491578,1,vupload,,3100,,,0,0,0,1030494
1491581,1,vupload,,233,,,640,360,0,1030498
1491579,1,vupload,,637,,,320,240,0,1030495
1498650,1,vupload,メルト,1100,,,1280,720,0,1030504
1498651,2,vupload,メルト 追加演出,1100,,,1280,720,0,1030504
1498670,3,vupload,アカツキアライヴァル,1117,,,1280,720,0,1030504
1498671,4,vupload,アカツキアライヴァル 追加演出,1117,,,1280,720,0,1030504
1498648,5,vupload,Packaged,1087,,,1280,720,0,1030504
1498649,6,vupload,Packaged 追加演出,1087,,,1280,720,0,1030504
1498674,7,vupload,Glory 3usi9,1102,,,1280,720,0,1030504
1498675,8,vupload,Glory 3usi9 追加演出,1103,,,1280,720,0,1030504
1498646,9,vupload,二息歩行,1098,,,1280,720,0,1030504
1498647,10,vupload,二息歩行 追加演出,1098,,,1280,720,0,1030504
1498007,11,vupload,番凩,1114,,,1280,720,0,1030504
1498636,12,vupload,番凩 追加演出,1114,,,1280,720,0,1030504
1491736,13,vupload,スキキライ,202,,,640,360,0,1030504
1491594,14,vupload,スキキライ 追加演出,203,,,640,360,0,1030504
1491740,15,vupload,クローバー♣クラブ,183,,,640,360,0,1030504
1492644,16,vupload,クローバー♣クラブ 追加演出,183,,,640,360,0,1030504
1498654,17,vupload,ミラクルペイント,1058,,,1280,720,0,1030504
1498655,18,vupload,ミラクルペイント 追加演出,1057,,,1280,720,0,1030504
1492281,19,vupload,指切り,162,,,640,360,0,1030504
1492282,20,vupload,指切り 追加演出,162,,,640,360,0,1030504
