tag_id,tag_name,cover,head_cover,content,short_content,type,state,ctime,count,is_atten,likes,hates,attribute,liked,hated,extra_attr,music_id,tag_type,is_activity,color,alpha,is_season,subscribed_count,archive_count,featured_count,jump_url,aid
424882,谢衣,http://i0.hdslb.com/bfs/tag/7c652a0d1b74522a9212611b60303b3253d23c06.png,,"单机游戏《古剑奇谭二》中大偃师，流月城大祭司沈夜之徒。于偃术一途冠绝古今，其制造的偃甲精妙绝伦，为世人所称颂。男主角乐无异对其十分崇拜。曾任流月城破军祭司，精通偃术和法术，在一百年前寻找神剑昭明的西域之行中被沈夜捉拿回流月城，毁去记忆，更名为初七，最终在巫山为了保护乐无异而死。他以自己为原型制作，并放入自己部分记忆的偃甲人谢衣曾收乐无异为徒。
配音演员为赵岭，甄嬛传-允礼、水浒-公孙胜、少包三-庞统、楚汉-项羽、名扬花鼓-名扬、佛跳墙-郑宝厨、记忆的证明-萧汉生、大魔术师-雷大牛",,3,0,1436866637,"{'view': 0, 'use': 2347, 'atten': 889}",0,0,0,0,0,0,0,,old_channel,False,,0,False,889,-,0,,1240043
390327,初七,,,,,3,0,1436866637,"{'view': 0, 'use': 904, 'atten': 27}",0,0,0,0,0,0,0,,old_channel,False,,0,False,27,-,0,,1240043
63948,初夜,,,,,3,0,1436866637,"{'view': 0, 'use': 307, 'atten': 44}",0,0,0,0,0,0,0,,old_channel,False,,0,False,44,-,0,,1240043
699821,UP主说等懒癌好了再去弄视频,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240043
211593,全程黑屏,,,,,0,0,1436866637,"{'view': 0, 'use': 61, 'atten': 1}",0,0,0,0,0,0,0,,old_channel,False,,0,False,1,-,0,,1240043
673152,实况攻略,http://i0.hdslb.com/bfs/archive/07068dad9763fcd3df5d2483b629fe843f067e9e.jpg,http://i0.hdslb.com/bfs/archive/3d062e10b66f1a120600bb340c8eeac01ff4bc1f.jpg,游戏实况与攻略视频,,3,0,1436866637,"{'view': 0, 'use': 40086, 'atten': 25420}",0,0,0,0,0,0,0,,old_channel,False,,0,False,25420,-,0,,1240047
300258,爬丝,,,"爬丝是B站一名伪·技术宅（原创UP主）
其视频涉及题材广泛，讲解内容丰富深入
每期视频都力争高画质高清晰度，其作品大多数都为原创
其代表作有《爬丝带你听音乐系列讲解视频》、《爬丝福利系列讲解视频》等",,3,0,1436866637,"{'view': 0, 'use': 227, 'atten': 1608}",0,0,0,0,0,0,0,,old_channel,False,,0,False,1608,-,0,,1240047
7160,实况解说,http://i0.hdslb.com/bfs/tag/36955b7e83ff9f5053cf23bd870d720a598c53aa.jpg,,,,3,0,1436866637,"{'view': 0, 'use': 2788253, 'atten': 26054}",0,0,0,0,0,0,0,,old_channel,False,,0,False,26054,-,0,,1240047
2113,雀龙门,http://i0.hdslb.com/bfs/tag/0b7c68b8dad118b102ac2bd250fed810a741d7b8.jpg,,"《雀龙门3》（日语：雀龙门3，英语：JanRyuMon3）是一款由韩国在线游戏公司NCsoft Corporation开发的，由日本公司NC Japan K.K运营的一款在线3D麻将游戏。2009年12月11日下午4时，《雀龙门》开始正式运营。2010年10月16日，随着一个大规模更新，《雀龙门》更名为“雀龙门2”。2011年10月29日，更新并更名为&quot;雀龙门3&quot;。定期更新时间为每星期二的上午7时至10时。
　　",,3,0,1436866637,"{'view': 0, 'use': 3082, 'atten': 275}",0,0,0,0,0,0,0,,old_channel,False,,0,False,275,-,0,,1240047
673152,实况攻略,http://i0.hdslb.com/bfs/archive/07068dad9763fcd3df5d2483b629fe843f067e9e.jpg,http://i0.hdslb.com/bfs/archive/3d062e10b66f1a120600bb340c8eeac01ff4bc1f.jpg,游戏实况与攻略视频,,3,0,1436866637,"{'view': 0, 'use': 40086, 'atten': 25420}",0,0,0,0,0,0,0,,old_channel,False,,0,False,25420,-,0,,1240051
