rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
5706935422,1043577,1,87359491,0,0,0,0,0,14,0,0,0,1636088177,1,0,"{'message': '一四年的视频居然那么清晰！', 'plat': 0, 'device': ''}",,0,False,1043577
90975519,1043577,1,609849,0,0,0,0,0,10,0,0,0,1458734236,1,0,"{'message': ""挺好看呀！10l get(●'◡'●)ﾉ♥ ！加油"", 'plat': 0, 'device': ''}",,0,False,1043577
12737376,1043580,1,1983745,0,0,0,1,1,28,0,0,0,1396868024,1,0,"{'message': '偶然看到这个视频，顿时被up主温柔的声音所吸引啊，最爱古风了！！！刚刚把up主以前所有作品都补完了，绯羽怨姬简直不能更赞啊！！！', 'plat': 0, 'device': ''}",,0,False,1043580
12633686,1043580,1,156397,0,0,0,1,1,3,0,0,0,1396617556,1,0,"{'message': '咕噜咕噜咕噜', 'plat': 0, 'device': ''}",,0,False,1043580
12633655,1043580,1,1801494,0,0,0,1,1,2,0,0,0,1396617510,1,0,"{'message': '_(:3」∠)_这个可以有~', 'plat': 0, 'device': ''}",,0,False,1043580
344028312,1043586,1,29213638,0,0,0,1,1,3,0,0,0,1500693227,52,0,"{'message': '其实他还有个名字叫，白鸽', 'plat': 0, 'device': ''}",,0,False,1043586
637089294,1043586,1,37901758,0,0,0,1,1,4,0,0,0,1518705306,24,0,"{'message': '我一直以为突袭者是四代机甲(=・ω・=)', 'plat': 0, 'device': ''}",,0,False,1043586
25871461,1043586,1,47511,0,0,0,2,1,1,0,0,0,1424653337,20,0,"{'message': '优酷我也是醉了，优酷君你怎么了？刷新一下试试？我刷尼玛啊，艹，刷了几十次还TM这样', 'plat': 0, 'device': ''}",,0,False,1043586
1419641128,1043584,1,87452118,0,0,0,0,0,1,0,0,0,1551180225,13,0,"{'message': '玩PUBG时，“兄弟跑图啊，卧槽你咋不动了，跑啊”“等会我累死了，让我歇会”', 'plat': 0, 'device': ''}",,0,False,1043584
1530442285,1043584,1,30816565,0,0,0,0,0,2,0,0,0,1555295286,3,0,"{'message': '以后如果VR设备技术成熟万向跑步机优化成熟价格降下来那以后就不会有肥宅这个称呼了打一把吃鸡都要被累死了', 'plat': 0, 'device': ''}",,0,False,1043584
3313398199,1043584,1,358941282,0,0,0,1,1,3,0,0,0,1596894413,0,0,"{'message': '我就是很想问\n想跳和游泳的时候\n怎么在万向跑步机上体现', 'plat': 0, 'device': ''}",,0,False,1043584
12639158,1043582,1,1787995,0,0,0,0,0,1,0,0,0,1396627694,0,0,"{'message': '手表太漂亮了', 'plat': 0, 'device': ''}",,0,False,1043582
1932048914,1043593,1,17372927,0,0,0,0,0,5,0,0,0,1567467174,1,0,"{'message': '看到经常跟着小田和正那个小提琴手了', 'plat': 0, 'device': ''}",,0,False,1043593
3375347020,1043593,1,27129247,0,0,0,0,0,6,0,0,0,1597836922,0,0,"{'message': '枫那个有吗？', 'plat': 0, 'device': ''}",,0,False,1043593
1742296909,1043593,1,22205940,0,0,0,0,0,4,0,0,0,1562459730,0,0,"{'message': '这首歌的旋律很适合做校园歌曲', 'plat': 0, 'device': ''}",,0,False,1043593
12634734,1043600,1,3604345,0,0,0,1,1,1,0,0,0,1396619384,0,0,"{'message': '歌很配，问问，有木有百度网盘啊', 'plat': 0, 'device': ''}",,0,False,1043600
12770995,1043603,1,633712,0,0,0,0,0,3,0,0,0,1396966389,30,0,"{'message': '这次真是太美了 冬奥FS是悲壮的美 这次是让人很享受的美&gt;3&lt;', 'plat': 0, 'device': ''}",,0,False,1043603
644608913,1043603,1,32382748,0,0,0,0,0,5,0,0,0,1519059843,26,0,"{'message': '不要随便看猫 每次都哭的乱七八糟的', 'plat': 0, 'device': ''}",,0,False,1043603
803315807,1043603,1,18285560,0,0,0,0,0,8,0,0,0,1527340267,22,0,"{'message': '时隔四年还是想感叹，猫要是在索契这样就好了', 'plat': 0, 'device': ''}",,0,False,1043603
12643851,1043607,1,3421632,0,0,0,0,0,20,0,0,0,1396658799,2,0,"{'message': 'UP主我觉得你可以在末地的柱子旁放一圈铁轨和矿车，小黑的高是3，玩家的高是2，然后柱子底挖一个高2格的地方，然后把小黑吸引过来，你能打得到他但他打不到你，(｡･ω･｡)', 'plat': 0, 'device': ''}",,0,False,1043607
163794896,1043607,1,4814338,0,0,0,0,0,42,0,0,0,1479403512,1,0,"{'message': '我是真爱啊！！！！！！！', 'plat': 0, 'device': ''}",,0,False,1043607
12919851,1043607,1,234047,0,0,0,0,0,41,0,0,0,1397391041,0,0,"{'message': '果然完结了么Σ(ﾟдﾟ;)', 'plat': 0, 'device': ''}",,0,False,1043607
17130880,1043605,1,538455,0,0,0,0,0,3,0,0,0,1407839332,0,0,"{'message': '(°∀°)ﾉ', 'plat': 0, 'device': ''}",,0,False,1043605
